Identifier,Tag: Name,Service,Type,Region,Tags,Tag: tech:team_name
bosswireless-prod-usage-import,bosswireless-prod-usage-import,S3,Bucket,us-east-1,13,team_boss_wireless
bosswireless-uat-spiffy-events,bosswireless-uat-spiffy-events,SQS,Queue,us-east-1,13,team_boss_wireless
bosswireless-prod-spiffy-events,bosswireless-prod-spiffy-events,SQS,Queue,us-east-1,13,team_boss_wireless
bosswireless-prod-bosswireless-retail-app-prod,bosswireless-prod-bosswireless-retail-app-prod,S3,Bucket,us-east-1,13,team_boss_wireless
bosswireless-uat-usage-import,bosswireless-uat-usage-import,S3,Bucket,us-east-1,13,team_boss_wireless
bosswireless-uat-bosswireless-retail-app-uat,bosswireless-uat-bosswireless-retail-app-uat,S3,Bucket,us-east-1,13,team_boss_wireless
bosswireless-uat-spiffy-events-DLQ,bosswireless-uat-spiffy-events-DLQ,SQS,Queue,us-east-1,13,team_boss_wireless
bosswireless-prod-spiffy-events-DLQ,bosswireless-prod-spiffy-events-DLQ,SQS,Queue,us-east-1,13,team_boss_wireless
i-0f5d517595b55368e,bosswireless-uat-utils,EC2,Instance,us-east-1,17,team_boss_wireless
eni-03b42edabe88b6c29,(not tagged),EC2,NetworkInterface,us-east-1,7,team_boss_wireless
eni-05d8a4a65c63f35f5,(not tagged),EC2,NetworkInterface,us-east-1,7,team_boss_wireless
sg-054dbc8b1c081f9bf,bosswireless-uat-utils-ecs-ec2,EC2,SecurityGroup,us-east-1,15,team_boss_wireless
sg-0dc56439c4b2c234e,bosswireless-uat-utils-ecs-lb-private,EC2,SecurityGroup,us-east-1,15,team_boss_wireless
sg-0691f60842bd5b169,bosswireless-uat-asg-local,EC2,SecurityGroup,us-east-1,13,team_boss_wireless
sg-067cbaf2822a9a3fa,bosswireless-prod-ecs-lb-private,EC2,SecurityGroup,us-east-1,15,team_boss_wireless
snap-021eeae1995a073cb,(not tagged),EC2,Snapshot,us-east-1,7,team_boss_wireless
vol-0fa7291afd46043e1,bosswireless-uat-utils,EC2,Volume,us-east-1,13,team_boss_wireless
bosswireless-prod,bosswireless-prod,ECS,Cluster,us-east-1,13,team_boss_wireless
bosswireless-uat-utils,bosswireless-uat-utils,ECS,Cluster,us-east-1,13,team_boss_wireless
bosswireless-uat-mongos-router:129,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-mongos-router:122,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-mongos-router:154,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-mvno-inhouse-sims:1,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-consul-registrator:1,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-mongos-router:148,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-brmvno-next:10,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-mongos-router:93,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-utils-api-autotests:1,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-mongos-router:92,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-mongos-router:112,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-torchwood:54,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-mongos-router:153,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-mongos-router:128,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-consul-agent:3,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
