Identifier,Tag: Name,Service,Type,Region,Tags,Tag: tech:team_name
bosswireless-qa-rc-acp-handler,bosswireless-qa-rc-acp-handler,Lambda,Function,us-east-1,14,team_boss_wireless
bosswireless-qa-rc-spiffy-events,bosswireless-qa-rc-spiffy-events,SQS,Queue,us-east-1,14,team_boss_wireless
bosswireless-qa-rc-usage-import,bosswireless-qa-rc-usage-import,S3,Bucket,us-east-1,14,team_boss_wireless
bosswireless-qa-rc-spiffy-events-DLQ,bosswireless-qa-rc-spiffy-events-DLQ,SQS,Queue,us-east-1,14,team_boss_wireless
brmobile-qa-brmobile-go-template-sqs-DLQ,brmobile-qa-brmobile-go-template-sqs-DLQ,SQS,Queue,us-east-1,13,team_brmobile
brmobile-qa-brmobile-go-template-sqs,brmobile-qa-brmobile-go-template-sqs,SQS,Queue,us-east-1,13,team_brmobile
bosswireless-qa-rc-down-00,bosswireless-qa-rc-down-00,CloudWatch,Alarm,us-east-1,14,team_boss_wireless
eni-0fd0e666c57843982,(not tagged),EC2,NetworkInterface,us-east-1,7,team_boss_wireless
eni-0ea1190d91f287456,(not tagged),EC2,NetworkInterface,us-east-1,7,team_boss_wireless
sg-05cabe2b6c166d15c,bosswireless-qa-rc-acp-handler-lambda,EC2,SecurityGroup,us-east-1,14,team_boss_wireless
sg-0a5b693374c14b8ce,bosswireless-qa-rc-ecs-ec2,EC2,SecurityGroup,us-east-1,16,team_boss_wireless
vol-0d7346f6019579330,bosswireless-qa,EC2,Volume,us-east-1,13,team_boss_wireless
vol-09a30c90f41f6b02e,bosswireless-qa-rc,EC2,Volume,us-east-1,13,team_boss_wireless
bosswireless-qa-up-00,bosswireless-qa-up-00,CloudWatch,Alarm,us-east-1,14,team_boss_wireless
bosswireless-qa-down-00,bosswireless-qa-down-00,CloudWatch,Alarm,us-east-1,14,team_boss_wireless
i-0cffe42139b410eeb,bosswireless-qa-rc,EC2,Instance,us-east-1,16,team_boss_wireless
i-063f50f6d9d547d10,bosswireless-qa,EC2,Instance,us-east-1,16,team_boss_wireless
eni-04a94d3d9d146bed8,(not tagged),EC2,NetworkInterface,us-east-1,7,team_boss_wireless
eni-0ade912e61e42203a,(not tagged),EC2,NetworkInterface,us-east-1,7,team_boss_wireless
sg-0f3204e5ba499cf71,bosswireless-qa-rc-asg-local,EC2,SecurityGroup,us-east-1,14,team_boss_wireless
sg-0d1d702193e825510,bosswireless-qa-ecs-lb-private,EC2,SecurityGroup,us-east-1,16,team_boss_wireless
sg-0bf5c73675f9983e9,bosswireless-qa-ecs-cloudfront-access,EC2,SecurityGroup,us-east-1,16,team_boss_wireless
sg-09f67527e58b2e777,bosswireless-qa-ecs-ec2,EC2,SecurityGroup,us-east-1,16,team_boss_wireless
vol-004094ea6be7fb9f6,bosswireless-qa,EC2,Volume,us-east-1,13,team_boss_wireless
mvno-20210212121846660200000002/2286424716cbebba,bosswireless-qa-rc-mvno-prc-green,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
spiff20210510081518397000000002/468ffd120280583b,bosswireless-qa-rc-spiffy-blue,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
mvno-20210215170307670100000002/c653e64e5ab48428,bosswireless-qa-rc-mvno-usage-import-green,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
promo20221124152902934000000002/4183d797b03b99ee,bosswireless-qa-rc-promo-handler-green,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
mvno-20210212080137778800000002/77ad5119fc247036,bosswireless-qa-rc-mvno-account-services-green,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
bosswireless-qa-rc-up-00,bosswireless-qa-rc-up-00,CloudWatch,Alarm,us-east-1,13,team_boss_wireless
i-028fda6b2331fc857,bosswireless-qa,EC2,Instance,us-east-1,16,team_boss_wireless
i-0a3a6e9b3b4a59a0f,bosswireless-qa-rc,EC2,Instance,us-east-1,16,team_boss_wireless
eni-0380d9ec9e32cc91a,(not tagged),EC2,NetworkInterface,us-east-1,7,team_boss_wireless
sg-00deb6935eb7bba83,bosswireless-qa-asg-local,EC2,SecurityGroup,us-east-1,13,team_boss_wireless
sg-0f31e35102ff17d77,bosswireless-qa-ecs-access,EC2,SecurityGroup,us-east-1,15,team_boss_wireless
vol-02f2209e31d4b4f85,bosswireless-qa-rc,EC2,Volume,us-east-1,13,team_boss_wireless
vol-00b3383889579d591,bosswireless-qa-rc,EC2,Volume,us-east-1,13,team_boss_wireless
vol-031f138bd8e2ef641,bosswireless-qa,EC2,Volume,us-east-1,13,team_boss_wireless
vol-0acb5068eab57c652,bosswireless-qa,EC2,Volume,us-east-1,13,team_boss_wireless
vol-0832a8da08bf4481a,bosswireless-qa-rc,EC2,Volume,us-east-1,13,team_boss_wireless
bosswireless-qa-rc-vault-agent:8,bosswireless-qa-rc,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-qa-mvno-plan-store:112,bosswireless-qa,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-qa-rc-brmobile-api:73,bosswireless-qa-rc,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-qa-acp-handler:2,bosswireless-qa,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-qa-torchwood:180,bosswireless-qa,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-qa-rc-mvno-plan-store:20,bosswireless-qa-rc,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-qa-rc-promo-handler:1,bosswireless-qa-rc,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-qa-rc-mvno-usage-import:80,bosswireless-qa-rc,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-qa-consul-agent:5,bosswireless-qa,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-qa-brmobile-api:166,bosswireless-qa,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-qa-employee-plan:45,bosswireless-qa,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-qa-torchwood:268,bosswireless-qa,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-qa-rc-consul-agent:3,bosswireless-qa-rc,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-qa-rc-brmobile-api:88,bosswireless-qa-rc,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-qa-rc-cluster-monitor:53,bosswireless-qa-rc,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-qa-rc-torchwood:79,bosswireless-qa-rc,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-qa-rc-brmobile-api:98,bosswireless-qa-rc,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-qa-customer-tier-switcher:194,bosswireless-qa,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-qa-rc-customer-tier-switcher:16,bosswireless-qa-rc,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-qa-rc-spiffy:1,bosswireless-qa-rc,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
app/bosswireless-qa-alb/27a647448bd8ed89,bosswireless-qa-alb,ElasticLoadBalancingV2,LoadBalancer,us-east-1,13,team_boss_wireless
clust20210210170010280500000002/3e743cea1489c67c,bosswireless-qa-rc-cluster-monitor-green,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
mvno-20210211090834042900000001/fe6066c480ddfdd4,bosswireless-qa-rc-mvno-plan-store-green,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
mvno-20210819092817304400000001/8097b10864ad586b,bosswireless-qa-rc-mvno-inhouse-sims-blue,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
promo20221124152902877000000001/56e4cf1afb8641b3,bosswireless-qa-rc-promo-handler-blue,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
mvno--20200825163352544000000002/441da250af15c5e3,mvno-account-services,ElasticLoadBalancingV2,TargetGroup,us-east-1,19,team_brmobile
mvno--20200825163352543800000001/247e29fd80316d37,mvno-account-services,ElasticLoadBalancingV2,TargetGroup,us-east-1,19,team_brmobile
emplo20210211135749574500000001/bb622ff43bec6ccf,bosswireless-qa-rc-employee-plan-blue,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
